ticker,status,reason,start_date,end_date,updated_at,source
ABBA,UMA,UMA atas Saham PT Mahaka Media Tbk. (ABBA),2025-10-08,2025-10-22,2026-03-03,idx_announcement_uma
ACRO,UMA,UMA atas Saham PT Samcro Hyosung Adilestari Tbk. (ACRO),2024-02-16,2024-03-01,2026-03-03,idx_announcement_uma
ACST,UMA,UMA atas Saham PT Acset Indonusa Tbk (ACST),2023-10-02,2023-10-16,2026-03-03,idx_announcement_uma
AEGS,UMA,UMA atas Saham PT Anugerah Spareparts Sejahtera Tbk. (AEGS),2024-01-18,2024-02-01,2026-03-03,idx_announcement_uma
AGAR,SUSPEND,Penghentian Sementara Perdagangan Saham PT Asia Sejahtera Mina Tbk (AGAR),2024-06-05,2024-06-19,2026-03-03,idx_announcement_suspend
AGAR,UMA,UMA atas Saham PT Asia Sejahtera Mina Tbk (AGAR),2024-06-04,2024-06-18,2026-03-03,idx_announcement_uma
AGII,SUSPEND,Penghentian Sementara Perdagangan Saham PT Samator Indo Gas Tbk. (AGII),2025-10-06,2025-10-20,2026-03-03,idx_announcement_suspend
AGII,UMA,UMA atas Saham PT Samator Indo Gas Tbk. (AGII),2025-10-03,2025-10-17,2026-03-03,idx_announcement_uma
AHAP,SUSPEND,Penghentian Sementara Perdagangan Saham PT Asuransi Harta Aman Pratama Tbk. (AHAP),2026-01-06,2026-01-20,2026-03-03,idx_announcement_suspend
AHAP,UMA,UMA atas Saham PT Asuransi Harta Aman Pratama Tbk (AHAP),2023-10-03,2023-10-17,2026-03-03,idx_announcement_uma
AIMS,SUSPEND,Penghentian Sementara Perdagangan Saham PT Akbar Indo Makmur Stimec Tbk (AIMS),2023-07-27,2023-08-10,2026-03-03,idx_announcement_suspend
AIMS,UMA,UMA atas Saham PT Akbar Indo Makmur Stimec Tbk (AIMS),2023-07-14,2023-07-28,2026-03-03,idx_announcement_uma
AKSI,SUSPEND,Penghentian Sementara Perdagangan Saham PT Mineral Sumberdaya Mandiri Tbk. (AKSI),2024-09-04,2024-09-18,2026-03-03,idx_announcement_suspend
AKSI,UMA,UMA atas Saham PT Mineral Sumberdaya Mandiri Tbk. (AKSI),2024-09-03,2024-09-17,2026-03-03,idx_announcement_uma
ALII,SUSPEND,Penghentian Sementara Perdagangan Saham PT Ancara Logistics Indonesia Tbk. (ALII),2025-12-17,2025-12-31,2026-03-03,idx_announcement_suspend
ALII,UMA,UMA atas Saham PT Ancara Logistics Indonesia Tbk. (ALII),2025-12-16,2025-12-30,2026-03-03,idx_announcement_uma
ALKA,UMA,UMA atas Saham PT Alakasa Industrindo Tbk (ALKA),2023-07-17,2023-07-31,2026-03-03,idx_announcement_uma
ALMI,SUSPEND,Penghentian Sementara Perdagangan Efek Alumindo Light Metal Industry Tbk (ALMI),2024-10-30,2024-11-13,2026-03-03,idx_announcement_suspend
AMAN,SUSPEND,Penghentian Sementara Perdagangan Saham PT Makmur Berkah Amanda Tbk. (AMAN),2023-04-03,2023-04-17,2026-03-03,idx_announcement_suspend
AMAR,UMA,UMA atas Saham PT Bank Amar Indonesia Tbk. (AMAR),2025-07-24,2025-08-07,2026-03-03,idx_announcement_uma
AMIN,UMA,UMA atas Saham PT Ateliers Mecaniques D Indonesie Tbk. (AMIN),2025-09-09,2025-09-23,2026-03-03,idx_announcement_uma
AMMN,UMA,UMA atas Saham PT Amman Mineral Internasional Tbk. (AMMN),2023-09-08,2023-09-22,2026-03-03,idx_announcement_uma
AMMS,SUSPEND,Penghentian Sementara Perdagangan Efek PT Agung Menjangan Mas Tbk (AMMS),2025-07-01,2025-07-15,2026-03-03,idx_announcement_suspend
AMMS,UMA,UMA atas Saham PT Agung Menjangan Mas Tbk. (AMMS),2025-06-16,2025-06-30,2026-03-03,idx_announcement_uma
ANJT,UMA,UMA atas Saham PT Austindo Nusantara Jaya Tbk. (ANJT),2025-04-14,2025-04-28,2026-03-03,idx_announcement_uma
APEX,SUSPEND,Penghentian Sementara Perdagangan Saham PT Apexindo Pratama Duta Tbk (APEX),2023-09-13,2023-09-27,2026-03-03,idx_announcement_suspend
APEX,UMA,UMA atas Saham PT Apexindo Pratama Duta Tbk (APEX),2023-09-07,2023-09-21,2026-03-03,idx_announcement_uma
APIC,UMA,UMA atas Saham PT Pacific Strategic Financial Tbk (APIC),2024-03-20,2024-04-03,2026-03-03,idx_announcement_uma
APLN,UMA,UMA atas Saham PT Agung Podomoro Land Tbk. (APLN),2026-01-13,2026-01-27,2026-03-03,idx_announcement_uma
ARCI,SUSPEND,Penghentian Sementara Perdagangan Saham PT Archi Indonesia Tbk. (ARCI),2025-06-20,2025-07-04,2026-03-03,idx_announcement_suspend
ARCI,UMA,UMA atas Saham PT Archi Indonesia Tbk. (ARCI),2025-06-17,2025-07-01,2026-03-03,idx_announcement_uma
AREA,SUSPEND,Penghentian Sementara Perdagangan Saham PT Dunia Virtual Online Tbk. (AREA),2025-03-05,2025-03-19,2026-03-03,idx_announcement_suspend
AREA,UMA,UMA atas Saham PT Dunia Virtual Online Tbk. (AREA),2025-02-27,2025-03-13,2026-03-03,idx_announcement_uma
ARGO,SUSPEND,Penghentian Sementara Perdagangan Saham PT Argo Pantes Tbk (ARGO),2024-08-19,2024-09-02,2026-03-03,idx_announcement_suspend
ARGO,UMA,UMA atas Saham PT Argo Pantes Tbk (ARGO),2024-08-16,2024-08-30,2026-03-03,idx_announcement_uma
ARII,UMA,UMA atas Saham PT Atlas Resources Tbk (ARII),2023-08-18,2023-09-01,2026-03-03,idx_announcement_uma
ARKO,SUSPEND,Penghentian Sementara Perdagangan Saham PT Arkora Hydro Tbk. (ARKO),2025-11-25,2025-12-09,2026-03-03,idx_announcement_suspend
ARKO,UMA,UMA atas Saham PT Arkora Hydro Tbk. (ARKO),2024-03-04,2024-03-18,2026-03-03,idx_announcement_uma
ARTA,SUSPEND,Penghentian Sementara Perdagangan Saham PT Arthavest Tbk (ARTA),2025-07-23,2025-08-06,2026-03-03,idx_announcement_suspend
ARTA,UMA,UMA atas Saham PT Arthavest Tbk (ARTA),2025-07-18,2025-08-01,2026-03-03,idx_announcement_uma
ARTO,UMA,UMA atas Saham PT Bank Jago Tbk (ARTO),2023-12-01,2023-12-15,2026-03-03,idx_announcement_uma
ASBI,UMA,UMA atas Saham PT Asuransi Bintang Tbk. (ASBI),2025-06-13,2025-06-27,2026-03-03,idx_announcement_uma
ASHA,SUSPEND,Penghentian Sementara Perdagangan Saham PT Cilacap Samudera Fishing Industry Tbk. (ASHA),2025-10-08,2025-10-22,2026-03-03,idx_announcement_suspend
ASHA,UMA,UMA atas Saham PT Cilacap Samudera Fishing Industry Tbk (ASHA),2023-09-04,2023-09-18,2026-03-03,idx_announcement_uma
ASJT,UMA,UMA atas Saham PT Asuransi Jasa Tania Tbk. (ASJT),2026-01-05,2026-01-19,2026-03-03,idx_announcement_uma
ASLC,SUSPEND,Penghentian Sementara Perdagangan Saham PT Autopedia Sukses Lestari Tbk. (ASLC),2025-08-21,2025-09-04,2026-03-03,idx_announcement_suspend
ASLC,UMA,UMA atas Saham PT Autopedia Sukses Lestari Tbk. (ASLC),2025-08-19,2025-09-02,2026-03-03,idx_announcement_uma
ASLI,SUSPEND,Penghentian Sementara Perdagangan Saham PT Asri Karya Lestari Tbk. (ASLI),2025-10-03,2025-10-17,2026-03-03,idx_announcement_suspend
ASLI,UMA,UMA atas Saham PT Asri Karya Lestari Tbk. (ASLI),2024-01-26,2024-02-09,2026-03-03,idx_announcement_uma
ASPI,SUSPEND,Penghentian Sementara Perdagangan Saham PT Andalan Sakti Primaindo Tbk. (ASPI),2025-06-20,2025-07-04,2026-03-03,idx_announcement_suspend
ASPI,UMA,UMA atas Saham PT Andalan Sakti Primaindo Tbk (ASPI),2023-07-06,2023-07-20,2026-03-03,idx_announcement_uma
ASPR,UMA,UMA atas Saham PT Asia Pramulia Tbk. (ASPR),2025-07-21,2025-08-04,2026-03-03,idx_announcement_uma
ASRI,UMA,UMA atas Saham PT Alam Sutera Realty Tbk (ASRI),2024-09-05,2024-09-19,2026-03-03,idx_announcement_uma
ATAP,SUSPEND,Penghentian Sementara Perdagangan Saham PT Trimitra Prawara Goldland Tbk. (ATAP),2025-11-18,2025-12-02,2026-03-03,idx_announcement_suspend
ATAP,UMA,UMA atas Saham PT Trimitra Prawara Goldland Tbk. (ATAP),2025-10-17,2025-10-31,2026-03-03,idx_announcement_uma
ATLA,SUSPEND,"Penghentian Sementara Perdagangan Saham & Waran Seri I PT Atlantis Subsea Indonesia Tbk. (ATLA, ATLA-W)",2024-06-07,2024-06-21,2026-03-03,idx_announcement_suspend
ATLA,UMA,UMA atas Saham PT Atlantis Subsea Indonesia Tbk. (ATLA),2024-04-26,2024-05-10,2026-03-03,idx_announcement_uma
AWAN,UMA,UMA atas Saham PT Era Digital Media Tbk. (AWAN),2023-06-12,2023-06-26,2026-03-03,idx_announcement_uma
AYAM,SUSPEND,Penghentian Sementara Perdagangan Saham PT Janu Putra Sejahtera Tbk. (AYAM),2025-11-25,2025-12-09,2026-03-03,idx_announcement_suspend
AYAM,UMA,UMA atas Saham PT Janu Putra Sejahtera Tbk. (AYAM),2025-06-20,2025-07-04,2026-03-03,idx_announcement_uma
AYLS,SUSPEND,Penghentian Sementara Perdagangan Saham PT Agro Yasa Lestari Tbk. (AYLS),2024-12-24,2025-01-07,2026-03-03,idx_announcement_suspend
AYLS,UMA,UMA atas Saham PT Agro Yasa Lestari Tbk (AYLS),2024-10-24,2024-11-07,2026-03-03,idx_announcement_uma
BABY,UMA,UMA atas Saham PT Multitrend Indo Tbk. (BABY),2024-11-11,2024-11-25,2026-03-03,idx_announcement_uma
BACA,UMA,UMA atas Saham PT Bank Capital Indonesia Tbk. (BACA),2025-12-29,2026-01-12,2026-03-03,idx_announcement_uma
BAIK,SUSPEND,"Penghentian Sementara Perdagangan Saham & Waran Seri I PT Bersama Mencapai Puncak Tbk. (BAIK, BAIK-W)",2024-02-23,2024-03-08,2026-03-03,idx_announcement_suspend
BAIK,UMA,UMA atas Saham PT Bersama Mencapai Puncak Tbk. (BAIK),2024-02-20,2024-03-05,2026-03-03,idx_announcement_uma
BAJA,UMA,UMA atas Saham PT Saranacentral Bajatama Tbk. (BAJA),2025-06-02,2025-06-16,2026-03-03,idx_announcement_uma
BALI,UMA,UMA atas Saham PT Bali Towerindo Sentra Tbk (BALI),2024-01-08,2024-01-22,2026-03-03,idx_announcement_uma
BANK,UMA,UMA atas Saham PT Bank Aladin Syariah Tbk. (BANK),2025-11-25,2025-12-09,2026-03-03,idx_announcement_uma
BAPA,UMA,UMA atas Saham PT Bekasi Asri Pemula Tbk. (BAPA),2025-09-02,2025-09-16,2026-03-03,idx_announcement_uma
BATA,UMA,UMA atas Saham PT Sepatu Bata Tbk. (BATA),2026-01-12,2026-01-26,2026-03-03,idx_announcement_uma
BBHI,UMA,UMA atas Saham PT Allo Bank Indonesia Tbk. (BBHI),2025-07-28,2025-08-11,2026-03-03,idx_announcement_uma
BBRM,SUSPEND,Penghentian Sementara Perdagangan Saham PT Pelayaran Nasional Bina Buana Raya Tbk. (BBRM),2025-12-29,2026-01-12,2026-03-03,idx_announcement_suspend
BBRM,UMA,UMA atas Saham PT Pelayaran Nasional Bina Buana Raya Tbk. (BBRM),2025-12-18,2026-01-01,2026-03-03,idx_announcement_uma
BBSS,SUSPEND,Penghentian Sementara Perdagangan Saham PT Bumi Benowo Sukses Sejahtera Tbk. (BBSS),2025-05-21,2025-06-04,2026-03-03,idx_announcement_suspend
BBSS,UMA,UMA atas Saham PT Bumi Benowo Sukses Sejahtera Tbk (BBSS),2024-03-21,2024-04-04,2026-03-03,idx_announcement_uma
BCAP,UMA,UMA atas Saham PT MNC Kapital Indonesia Tbk (BCAP),2024-08-23,2024-09-06,2026-03-03,idx_announcement_uma
BCIC,SUSPEND,Penghentian Sementara Perdagangan Saham PT Bank JTrust Indonesia Tbk (BCIC),2024-10-09,2024-10-23,2026-03-03,idx_announcement_suspend
