ticker,index,effective_from,effective_until,source,source_document,imported_at
AADI,IDX30,2026-05-04,2026-07-31,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00067_BEI.POP_04-2026-ID.zip,2026-07-20T04:49:36.885353+00:00
ADMR,IDX30,2026-05-04,2026-07-31,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00067_BEI.POP_04-2026-ID.zip,2026-07-20T04:49:36.885353+00:00
ADRO,IDX30,2026-05-04,2026-07-31,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00067_BEI.POP_04-2026-ID.zip,2026-07-20T04:49:36.885353+00:00
AMRT,IDX30,2026-05-04,2026-07-31,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00067_BEI.POP_04-2026-ID.zip,2026-07-20T04:49:36.885353+00:00
ANTM,IDX30,2026-05-04,2026-07-31,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00067_BEI.POP_04-2026-ID.zip,2026-07-20T04:49:36.885353+00:00
ASII,IDX30,2026-05-04,2026-07-31,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00067_BEI.POP_04-2026-ID.zip,2026-07-20T04:49:36.885353+00:00
BBCA,IDX30,2026-05-04,2026-07-31,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00067_BEI.POP_04-2026-ID.zip,2026-07-20T04:49:36.885353+00:00
BBNI,IDX30,2026-05-04,2026-07-31,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00067_BEI.POP_04-2026-ID.zip,2026-07-20T04:49:36.885353+00:00
BBRI,IDX30,2026-05-04,2026-07-31,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00067_BEI.POP_04-2026-ID.zip,2026-07-20T04:49:36.885353+00:00
BMRI,IDX30,2026-05-04,2026-07-31,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00067_BEI.POP_04-2026-ID.zip,2026-07-20T04:49:36.885353+00:00
