ticker,index,effective_from,effective_until,source,source_document
AADI,IDX30|LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
ADMR,IDX30|LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
ADRO,IDX30|LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
AKRA,LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
AMMN,LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
AMRT,IDX30|LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
ANTM,IDX30|LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
ASII,IDX30|LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
BBCA,IDX30|LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
BBNI,IDX30|LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
BBRI,IDX30|LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
BBTN,LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
BMRI,IDX30|LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
BRPT,IDX30|LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
BUMI,IDX30|LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
CPIN,IDX30|LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
CUAN,LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
DEWA,IDX30|LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
EMTK,IDX30|LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
ESSA,LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
EXCL,LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
GOTO,IDX30|LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
HRTA,LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
ICBP,IDX30|LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
INCO,IDX30|LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
INDF,IDX30|LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
INDY,LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
INKP,IDX30|LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
ISAT,LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
ITMG,LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
JPFA,IDX30|LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
KLBF,IDX30|LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
MAPI,LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
MBMA,IDX30|LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
MDKA,IDX30|LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
MEDC,IDX30|LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
NCKL,LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
PGAS,IDX30|LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
PGEO,IDX30|LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
PTBA,LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
SCMA,LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
TLKM,IDX30|LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
UNTR,IDX30|LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
UNVR,IDX30|LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
WIFI,LQ45,2026-08-03,2026-10-30,IDX_OFFICIAL_ANNOUNCEMENT,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00148_BEI.POP_07-2026-ID.zip
