mode,threshold,trade_count,selection_rate_pct,precision_pct,expectancy_r,profit_factor_r,avg_win_r,avg_loss_r,avg_mae_r,avg_mfe_r
swing,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swing,0.52,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swing,0.55,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swing,0.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swing,0.65,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swing,0.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swing,0.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swing,0.45,45,100.0,35.56,-0.0325,0.922,1.0812,-0.647,-0.7599,0.9372
t1,0.45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t1,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t1,0.52,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t1,0.55,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t1,0.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t1,0.65,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t1,0.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t1,0.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
