ticker,mode,edge_samples,raw_win_rate,raw_expectancy_r,shrunk_p_win,shrunk_expectancy_r,prior_p_win,prior_expectancy_r
BRPT,swing,220,0.422727,0.233039,0.416364,0.201822,0.346366,-0.141562
TPIA,swing,200,0.415,0.205234,0.408761,0.173707,0.346366,-0.141562
ANTM,swing,184,0.402174,0.120472,0.396703,0.094783,0.346366,-0.141562
AMMN,swing,115,0.486957,0.10977,0.466128,0.072535,0.346366,-0.141562
BMRI,swing,132,0.431818,0.034,0.420574,0.010899,0.346366,-0.141562
ADRO,swing,186,0.419355,0.021631,0.412269,0.005787,0.346366,-0.141562
BBRI,swing,74,0.432432,0.039866,0.41412,0.001265,0.346366,-0.141562
EMTK,t1,152,0.427632,-0.008302,0.416834,-0.019494,0.334775,-0.104556
BRPT,t1,127,0.409449,-0.007212,0.399289,-0.020456,0.334775,-0.104556
INKP,t1,144,0.326389,-0.023072,0.327412,-0.033009,0.334775,-0.104556
ARTO,swing,117,0.384615,-0.020997,0.379031,-0.038598,0.346366,-0.141562
TPIA,t1,149,0.416107,-0.039913,0.406482,-0.047563,0.334775,-0.104556
HRUM,swing,102,0.411765,-0.031224,0.401044,-0.049313,0.346366,-0.141562
AMMN,t1,122,0.442623,-0.047085,0.427433,-0.05518,0.334775,-0.104556
BRIS,swing,151,0.397351,-0.04396,0.391388,-0.055375,0.346366,-0.141562
PTBA,swing,127,0.370079,-0.049098,0.366852,-0.061678,0.346366,-0.141562
PTBA,t1,144,0.361111,-0.059943,0.357899,-0.065384,0.334775,-0.104556
TKIM,t1,133,0.360902,-0.062783,0.357487,-0.068244,0.334775,-0.104556
MDKA,t1,167,0.347305,-0.065526,0.345965,-0.0697,0.334775,-0.104556
ADRO,t1,213,0.333333,-0.068193,0.333457,-0.071314,0.334775,-0.104556
PGAS,t1,149,0.375839,-0.068243,0.370979,-0.072541,0.334775,-0.104556
EXCL,swing,135,0.311111,-0.06918,0.31566,-0.078519,0.346366,-0.141562
ITMG,t1,140,0.392857,-0.075847,0.385597,-0.079436,0.334775,-0.104556
SMGR,t1,127,0.377953,-0.076765,0.372078,-0.080546,0.334775,-0.104556
MEDC,swing,187,0.326203,-0.081705,0.328151,-0.087488,0.346366,-0.141562
ESSA,t1,122,0.360656,-0.086163,0.357011,-0.088754,0.334775,-0.104556
INTP,t1,140,0.378571,-0.087441,0.373097,-0.08958,0.334775,-0.104556
ISAT,t1,175,0.371429,-0.088642,0.367669,-0.090274,0.334775,-0.104556
ARTO,t1,107,0.35514,-0.087926,0.351933,-0.090545,0.334775,-0.104556
UNVR,swing,126,0.293651,-0.083521,0.300872,-0.091472,0.346366,-0.141562
INCO,swing,144,0.333333,-0.084889,0.334923,-0.0918,0.346366,-0.141562
BBNI,t1,134,0.343284,-0.091606,0.342179,-0.093288,0.334775,-0.104556
NCKL,t1,92,0.326087,-0.093998,0.327638,-0.095883,0.334775,-0.104556
ANTM,t1,190,0.368421,-0.097261,0.365217,-0.097956,0.334775,-0.104556
MBMA,t1,58,0.362069,-0.096806,0.355071,-0.098793,0.334775,-0.104556
GOTO,t1,73,0.246575,-0.09846,0.265543,-0.099771,0.334775,-0.104556
ESSA,swing,205,0.341463,-0.097723,0.341899,-0.10162,0.346366,-0.141562
HRUM,t1,139,0.352518,-0.104836,0.350286,-0.1048,0.334775,-0.104556
UNVR,t1,158,0.329114,-0.106558,0.32975,-0.106333,0.334775,-0.104556
BRIS,t1,157,0.33121,-0.106592,0.331613,-0.106362,0.334775,-0.104556
TOWR,t1,104,0.298077,-0.109722,0.303996,-0.108889,0.334775,-0.104556
MEDC,t1,187,0.294118,-0.109876,0.298046,-0.109362,0.334775,-0.104556
BBTN,t1,129,0.325581,-0.115762,0.326815,-0.114258,0.334775,-0.104556
ASII,swing,81,0.407407,-0.108001,0.39532,-0.114647,0.346366,-0.141562
SMRA,t1,137,0.372263,-0.117547,0.367487,-0.115892,0.334775,-0.104556
INCO,t1,167,0.305389,-0.117771,0.308532,-0.116358,0.334775,-0.104556
EXCL,t1,176,0.284091,-0.117763,0.289263,-0.116415,0.334775,-0.104556
SIDO,t1,114,0.324561,-0.12095,0.326086,-0.118503,0.334775,-0.104556
TLKM,swing,98,0.377551,-0.117007,0.372265,-0.121169,0.346366,-0.141562
MAPI,t1,205,0.278049,-0.127318,0.283091,-0.125294,0.334775,-0.104556
UNTR,t1,180,0.311111,-0.128382,0.313478,-0.125999,0.334775,-0.104556
