mode,score_bucket,trade_count,precision_pct,expectancy_r,profit_factor_r,avg_win_r,avg_loss_r,avg_mae_r,worst_mae_r,avg_mfe_r,median_score,tp1_touch_rate_pct,tp2_hit_rate_pct,stop_rate_pct,breakeven_rate_pct,live_trade_count,live_expectancy_r,live_profit_factor_r
swing,90-95,3,0.0,-1.1146,0.0,0.0,-1.1146,-1.517,-1.6592,0.2528,91.05,0.0,0.0,100.0,0.0,3,-1.1146,0.0
t1,70-80,8,12.5,-0.3259,0.0328,0.0884,-0.385,-0.3294,-1.1665,0.1187,79.19,0.0,0.0,12.5,0.0,0,0.0,0.0
swing,70-80,337,26.11,-0.2516,0.5418,1.1392,-0.7431,-0.8285,-2.0954,0.7779,73.81,29.08,10.39,42.73,10.09,337,-0.2516,0.5418
swing,60-70,493,30.43,-0.2135,0.5609,0.8963,-0.6988,-0.7406,-2.3423,0.8298,65.19,31.03,7.91,37.93,13.59,103,-0.2602,0.5345
swing,0-60,953,35.36,-0.1889,0.618,0.8644,-0.7652,-0.7729,-4.04,0.7575,48.97,28.54,8.39,37.78,8.29,0,0.0,0.0
t1,60-70,149,32.89,-0.1469,0.4116,0.3125,-0.372,-0.3317,-3.4339,0.2523,65.0,3.36,0.0,4.7,0.0,0,0.0,0.0
t1,80-90,145,26.9,-0.1377,0.3279,0.2498,-0.2804,-0.2927,-2.4107,0.2505,85.0,1.38,0.0,2.76,0.0,0,0.0,0.0
t1,90-95,380,29.74,-0.1221,0.401,0.2748,-0.29,-0.2689,-1.6184,0.2496,93.31,2.11,0.0,1.58,0.0,0,0.0,0.0
t1,95-100,1398,32.62,-0.1216,0.4403,0.2931,-0.3223,-0.2927,-2.3423,0.275,99.28,3.93,0.36,2.58,0.0,1398,-0.1216,0.4403
t1,0-60,45,40.0,-0.0336,0.7705,0.282,-0.244,-0.2284,-0.739,0.2941,34.28,2.22,0.0,0.0,0.0,0,0.0,0.0
swing,80-90,101,45.54,0.2558,1.803,1.261,-0.585,-0.5669,-1.6739,1.1456,83.24,47.52,26.73,24.75,15.84,101,0.2558,1.803
