ticker,candidate_count,v1_live_count,v2_recommended_count,v2_recommended_rate_pct,all_precision_pct,all_expectancy_r,all_profit_factor_r,v2_precision_pct,v2_expectancy_r,v2_profit_factor_r,v2_avg_mae_r,v2_avg_mfe_r
AADI,19,14,0,0.0,42.11,0.0674,1.5159,0.0,0.0,0.0,0.0,0.0
ADMR,4,2,0,0.0,0.0,-0.3032,0.0,0.0,0.0,0.0,0.0,0.0
ADRO,133,61,0,0.0,27.07,-0.2424,0.3437,0.0,0.0,0.0,0.0,0.0
AKRA,165,83,0,0.0,29.09,-0.1969,0.42,0.0,0.0,0.0,0.0,0.0
AMMN,106,51,0,0.0,35.85,-0.1535,0.4353,0.0,0.0,0.0,0.0,0.0
AMRT,1,0,0,0.0,0.0,-0.234,0.0,0.0,0.0,0.0,0.0,0.0
ANTM,220,143,0,0.0,39.55,0.0507,1.1464,0.0,0.0,0.0,0.0,0.0
ARTO,69,42,0,0.0,28.99,-0.2029,0.3702,0.0,0.0,0.0,0.0,0.0
ASII,113,32,0,0.0,34.51,-0.1484,0.6254,0.0,0.0,0.0,0.0,0.0
BBCA,43,18,0,0.0,30.23,-0.2483,0.3506,0.0,0.0,0.0,0.0,0.0
BBNI,92,47,0,0.0,23.91,-0.3288,0.1748,0.0,0.0,0.0,0.0,0.0
BBRI,63,34,0,0.0,22.22,-0.3594,0.123,0.0,0.0,0.0,0.0,0.0
BBTN,105,64,0,0.0,34.29,-0.1873,0.5354,0.0,0.0,0.0,0.0,0.0
BMRI,67,38,0,0.0,37.31,-0.2415,0.3404,0.0,0.0,0.0,0.0,0.0
BRIS,57,35,0,0.0,40.35,-0.1854,0.3613,0.0,0.0,0.0,0.0,0.0
BRPT,173,94,0,0.0,50.29,0.2993,2.2948,0.0,0.0,0.0,0.0,0.0
BUMI,9,9,0,0.0,22.22,-0.1232,0.4039,0.0,0.0,0.0,0.0,0.0
CPIN,90,46,0,0.0,22.22,-0.3836,0.1718,0.0,0.0,0.0,0.0,0.0
CUAN,1,0,0,0.0,100.0,0.0408,999.0,0.0,0.0,0.0,0.0,0.0
EMTK,25,13,0,0.0,20.0,-0.4004,0.127,0.0,0.0,0.0,0.0,0.0
ESSA,65,32,0,0.0,23.08,-0.4349,0.1222,0.0,0.0,0.0,0.0,0.0
EXCL,167,57,0,0.0,28.14,-0.0613,0.7967,0.0,0.0,0.0,0.0,0.0
GOTO,107,46,0,0.0,23.36,-0.2431,0.3178,0.0,0.0,0.0,0.0,0.0
HRTA,11,10,0,0.0,36.36,-0.0341,0.8101,0.0,0.0,0.0,0.0,0.0
ICBP,79,48,0,0.0,20.25,-0.3596,0.1867,0.0,0.0,0.0,0.0,0.0
INCO,167,93,0,0.0,29.34,-0.0921,0.7097,0.0,0.0,0.0,0.0,0.0
INDF,137,44,0,0.0,32.85,-0.2759,0.3324,0.0,0.0,0.0,0.0,0.0
INKP,124,78,0,0.0,36.29,-0.1982,0.4381,0.0,0.0,0.0,0.0,0.0
INTP,20,9,0,0.0,20.0,-0.4261,0.0368,0.0,0.0,0.0,0.0,0.0
ISAT,142,72,0,0.0,25.35,-0.1996,0.4718,0.0,0.0,0.0,0.0,0.0
ITMG,87,38,0,0.0,34.48,-0.0964,0.7405,0.0,0.0,0.0,0.0,0.0
JPFA,5,2,0,0.0,20.0,-0.0555,0.5713,0.0,0.0,0.0,0.0,0.0
KLBF,87,41,0,0.0,33.33,-0.1775,0.4692,0.0,0.0,0.0,0.0,0.0
MAPI,168,82,0,0.0,33.33,-0.2057,0.3461,0.0,0.0,0.0,0.0,0.0
MBMA,118,51,0,0.0,33.05,-0.2127,0.4973,0.0,0.0,0.0,0.0,0.0
MDKA,144,77,0,0.0,35.42,-0.1635,0.5347,0.0,0.0,0.0,0.0,0.0
MEDC,187,97,0,0.0,34.76,-0.0632,0.7682,0.0,0.0,0.0,0.0,0.0
NCKL,48,34,0,0.0,37.5,-0.0906,0.673,0.0,0.0,0.0,0.0,0.0
PGAS,162,51,0,0.0,31.48,-0.205,0.4718,0.0,0.0,0.0,0.0,0.0
PGEO,7,6,0,0.0,42.86,-0.0451,0.6122,0.0,0.0,0.0,0.0,0.0
PTBA,101,46,0,0.0,35.64,-0.0022,0.9923,0.0,0.0,0.0,0.0,0.0
SCMA,2,2,0,0.0,0.0,-0.38,0.0,0.0,0.0,0.0,0.0,0.0
SIDO,39,13,0,0.0,12.82,-0.4846,0.0778,0.0,0.0,0.0,0.0,0.0
SMGR,58,30,0,0.0,29.31,-0.2458,0.3543,0.0,0.0,0.0,0.0,0.0
SMRA,25,11,0,0.0,20.0,-0.2502,0.2781,0.0,0.0,0.0,0.0,0.0
TLKM,114,60,0,0.0,33.33,-0.1536,0.5774,0.0,0.0,0.0,0.0,0.0
TOWR,58,34,0,0.0,20.69,-0.2295,0.2653,0.0,0.0,0.0,0.0,0.0
UNTR,150,66,0,0.0,34.67,-0.1832,0.5027,0.0,0.0,0.0,0.0,0.0
UNVR,142,67,0,0.0,38.03,0.0445,1.2113,0.0,0.0,0.0,0.0,0.0
WIFI,6,4,0,0.0,16.67,-0.1967,0.17,0.0,0.0,0.0,0.0,0.0
