mode,threshold,trade_count,selection_rate_pct,precision_pct,expectancy_r,profit_factor_r,avg_win_r,avg_loss_r,avg_mae_r,avg_mfe_r
swing,0.65,53,0.95,64.15,0.7537,4.9835,1.4699,-0.5278,-0.4477,1.3832
swing,0.6,152,2.72,51.32,0.4593,2.7963,1.3932,-0.5252,-0.5265,1.2692
swing,0.55,362,6.47,38.67,0.0868,1.218,1.2543,-0.6494,-0.6737,1.0399
swing,0.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swing,0.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swing,0.5,809,14.46,35.23,-0.0184,0.9581,1.1905,-0.6758,-0.7073,0.9757
swing,0.52,571,10.21,34.68,-0.0323,0.9284,1.2091,-0.6913,-0.7181,0.9688
swing,0.45,1579,28.22,34.01,-0.0687,0.8467,1.1153,-0.6788,-0.7235,0.9261
t1,0.7,16,0.27,62.5,0.1192,2.1554,0.3558,-0.2751,-0.1603,0.4403
t1,0.6,45,0.75,55.56,0.0815,1.6692,0.3657,-0.2739,-0.1806,0.4018
t1,0.55,75,1.26,54.67,0.0601,1.5116,0.3246,-0.259,-0.1791,0.3631
t1,0.65,28,0.47,53.57,0.0265,1.1891,0.311,-0.3018,-0.2049,0.3761
t1,0.52,106,1.77,42.45,0.0035,1.0242,0.3472,-0.2501,-0.2086,0.3186
t1,0.5,133,2.23,41.35,-0.0188,0.8795,0.3319,-0.2661,-0.2337,0.3047
t1,0.45,211,3.53,38.86,-0.0209,0.8656,0.3462,-0.2543,-0.2297,0.3008
t1,0.75,5,0.08,40.0,-0.1153,0.5056,0.2949,-0.3888,-0.291,0.2282
