ticker,mode,edge_samples,raw_win_rate,raw_expectancy_r,shrunk_p_win,shrunk_expectancy_r,prior_p_win,prior_expectancy_r
BRPT,swing,220,0.422727,0.233039,0.416291,0.201802,0.345487,-0.141809
TPIA,swing,200,0.415,0.205234,0.408681,0.173685,0.345487,-0.141809
ANTM,swing,184,0.402174,0.120472,0.396616,0.094758,0.345487,-0.141809
AMMN,swing,115,0.486957,0.10977,0.465998,0.072499,0.345487,-0.141809
BMRI,swing,132,0.431818,0.034,0.420459,0.010867,0.345487,-0.141809
BBRI,swing,74,0.432432,0.039866,0.413933,0.001212,0.345487,-0.141809
ADRO,swing,183,0.415301,0.015786,0.408422,0.000259,0.345487,-0.141809
EMTK,t1,152,0.427632,-0.008302,0.416907,-0.01943,0.335397,-0.104005
BRPT,t1,127,0.409449,-0.007212,0.399374,-0.020381,0.335397,-0.104005
INKP,t1,144,0.326389,-0.023072,0.327487,-0.032942,0.335397,-0.104005
TPIA,t1,149,0.416107,-0.039913,0.406556,-0.047498,0.335397,-0.104005
HRUM,swing,102,0.411765,-0.031224,0.4009,-0.049353,0.345487,-0.141809
ARTO,swing,113,0.371681,-0.035748,0.367742,-0.051697,0.345487,-0.141809
AMMN,t1,122,0.442623,-0.047085,0.427521,-0.055102,0.335397,-0.104005
BRIS,swing,151,0.397351,-0.04396,0.391285,-0.055404,0.345487,-0.141809
PTBA,swing,127,0.370079,-0.049098,0.366733,-0.061711,0.345487,-0.141809
PTBA,t1,144,0.361111,-0.059943,0.357975,-0.065317,0.335397,-0.104005
TKIM,t1,128,0.375,-0.060558,0.369648,-0.06643,0.335397,-0.104005
MDKA,t1,167,0.347305,-0.065526,0.346032,-0.069641,0.335397,-0.104005
PGAS,t1,148,0.378378,-0.065515,0.373262,-0.070097,0.335397,-0.104005
ADRO,t1,213,0.333333,-0.068193,0.333511,-0.071267,0.335397,-0.104005
EXCL,swing,135,0.311111,-0.06918,0.315547,-0.078551,0.345487,-0.141809
ITMG,t1,140,0.392857,-0.075847,0.385675,-0.079367,0.335397,-0.104005
SMGR,t1,127,0.377953,-0.076765,0.372163,-0.080471,0.335397,-0.104005
UNVR,swing,122,0.303279,-0.073766,0.309224,-0.08335,0.345487,-0.141809
